sex,rings,length_mm,diameter_mm,height_mm,whole_weight_g,shucked_weight_g,viscera_weight_g,shell_weight_g
M,13,125,93,28.000000000000004,239,96.5,41,80
M,10,112.00000000000001,88,32,172.9,66.10000000000001,41.5,52
F,9,92,71,26,103.4,44.1,22.8,33
F,12,114.99999999999999,90,32,195.5,62.7,46.2,66
M,15,112.99999999999999,85,27,162.3,68.2,33.5,51
M,12,111.00000000000001,88,30,151,61.4,30.5,52
M,13,119,93,35,223,80.30000000000001,50.8,78
F,10,125,99,33,252.4,101.4,63.6,78
M,15,139,112.00000000000001,38,298.8,117.6,68.5,97
M,14,133,107,39,321.20000000000005,115.10000000000001,77.60000000000001,96
M,9,107,87,30,145,53.800000000000004,27.700000000000003,50
M,8,94,75,26,104.60000000000001,42.8,26.400000000000002,28.999999999999996
M,7,94,74,26,104.5,40.2,26.6,33
F,10,95,75,25,115.7,55.50000000000001,17,31
I,7,72,53,19,46.300000000000004,21,9.2,15
M,15,110.00000000000001,87,28.999999999999996,168.6,65.60000000000001,38.3,51
M,15,106,87,32,176.6,63.2,32.800000000000004,67
M,10,106,83,28.000000000000004,144.79999999999998,62.1,33.5,41
M,12,121,94,32,234.7,99.5,48.1,69
F,12,104,82,31,145.4,58.199999999999996,36.7,47
F,11,109.00000000000001,86,33,160.4,58.699999999999996,36.6,56.00000000000001
F,10,100,80,25,133.5,52.2,26.3,44
F,9,102,78,27,126.69999999999999,46.2,35.8,40
F,9,87,79,21,72.7,27.200000000000003,19.6,26
M,9,99,79,25,108.3,47.5,26.900000000000002,31
M,9,93,72,21,86.2,34.4,21.4,35
I,9,87,64,16,66.5,29.7,12.7,21
M,9,85,70,21,78.60000000000001,26,12.6,33
F,11,109.00000000000001,82,25,138.7,59.5,29.2,42
F,11,106,83,23,118.30000000000001,46.6,31.7,36
F,11,98,75,27,122.50000000000001,51.1,20.4,44
M,10,88,68,21,80.4,26.1,19.1,33
F,9,112.00000000000001,86,30,176.5,69.3,34.4,62
M,8,81,61,17,52.1,22.900000000000002,11.899999999999999,17
F,9,94,73,21,84.1,32.6,20.7,28.000000000000004
I,7,77,59,17,50.7,20.599999999999998,11.5,17
F,14,103,85,28.000000000000004,153.2,60.8,34.5,51
M,6,74,53,15,42.8,18,10.2,14.000000000000002
I,6,72,56.00000000000001,16,35.099999999999994,16.2,10.100000000000001,14.000000000000002
I,5,54,39,12,14.6,5.7,4.7,6
I,6,75,55.00000000000001,18,47.599999999999994,21.5,10.9,14.000000000000002
I,8,77,57.99999999999999,17,50.1,22.400000000000002,12.2,16
M,19,140,107,32,345.1,126,52.7,108
M,18,142,108,33,391.8,153.29999999999998,52.2,156
M,17,119,96,33,252.4,96.7,56.599999999999994,82
F,9,88,70,25,80.7,35,12.6,25.8
F,7,65,52,18,38.3,17,7.199999999999999,12.4
I,7,70,52,19,42.199999999999996,17.2,11.200000000000001,13.600000000000001
I,7,53,40,13,19.5,8,4.1000000000000005,5.6000000000000005
F,8,85,66,23,81.2,32.7,16.2,27.1
F,7,61,46,16,31.2,13.5,6.9,9.6
M,9,69,51,18,40.1,18.8,5.8999999999999995,12.6
F,9,81,65,22,71.1,30.2,12.6,23.400000000000002
M,9,75,56.99999999999999,19,50.6,19.2,11.5,18.5
F,10,112.99999999999999,89,31,165.2,68.2,41.099999999999994,49.5
F,10,110.00000000000001,90,28.999999999999996,148.2,59,28.7,53.300000000000004
M,16,130,104,38,268.9,103.8,61.199999999999996,89.3
M,11,112.00000000000001,91,31,159.4,68,38,48.5
M,10,95,75,26,103.49999999999999,41.5,23.3,34
F,10,98,76,25,109.80000000000001,49,21.5,34.8
M,10,92,70,24,103,44.800000000000004,21.6,31.3
I,9,56.00000000000001,41,16,25.4,10.4,7.8,8.4
I,5,35,26,11,6.3,2.1,1.3,2.5
I,4,34,26,19,6,2.6,1.6,2
M,15,118,95,28.999999999999996,210.6,88.3,52.400000000000006,65
F,9,121,100,37,223.70000000000002,93.8,51.7,67
F,10,127,103,38,274.3,101.29999999999998,61,90
F,10,121,97,32,211.3,74,47.099999999999994,71
F,12,112.99999999999999,90,27,197.70000000000002,77.4,29.9,62
M,10,103,81,26,144.4,64,26.200000000000003,42
F,13,114.99999999999999,92,38,198.8,78.4,48.5,68
M,16,129,97,43,302.8,109.2,52.300000000000004,127
F,13,115.99999999999999,91,34,181.5,74.8,42.699999999999996,56.99999999999999
F,13,114.99999999999999,92,33,224.8,59.699999999999996,35.699999999999996,88
M,13,121,93,33,211.20000000000002,84.3,49.5,68
F,13,121,97,32,244.4,106,51.5,56.00000000000001
M,12,122,97,35,248.89999999999998,108.80000000000001,59.4,69
F,18,145,112.00000000000001,42,428.2,130,79.60000000000001,200.99999999999997
F,16,130,109.00000000000001,46,350.4,112.1,57.9,163
M,14,145,113.99999999999999,38,509.99999999999994,214.1,96.6,145
F,20,145,114.99999999999999,35,424.8,153,90.3,170
F,20,136,113.99999999999999,41,368.40000000000003,125,81.6,130
M,14,141,112.00000000000001,44,396.20000000000005,163.5,61.7,152
F,12,136,103,35,323.7,102.49999999999999,81.8,124
M,14,139,110.00000000000001,43,391.29999999999995,142.5,108.2,118
F,7,106,79,28.999999999999996,155,61.6,33.800000000000004,51
M,8,105,87,31,213,97.2,46.6,56.99999999999999
F,8,104,81,23,155.20000000000002,64,36.9,44
I,5,47,32,8,9.6,3.6999999999999997,3.5999999999999996,3
I,7,72,52,18,35.699999999999996,12.9,7.3999999999999995,15
I,5,63,42,12,25,12,7.5,7.000000000000001
I,8,63,49,17,28.7,10.6,9.5,10
I,4,45,32,9,9.3,5,3,3
M,11,115.99999999999999,95,30,194,77,43.3,70
M,14,113.99999999999999,96,36,187.9,79.80000000000001,40,59
M,21,128,102,35,273.6,103,53.2,113.99999999999999
F,10,112.00000000000001,90,32,204.70000000000002,85.8,53.6,60
F,10,124,95,35,203.29999999999998,87.1,42.8,65
F,12,129,102,40,313.5,124.2,73.4,92
M,13,124,98,38,243.6,109.1,59.3,71
F,12,126,96,30,210.5,78.4,67.2,56.99999999999999
F,10,126,100,37,276.6,108,66.3,76
F,11,126,96,32,239.8,105.3,67,63
F,9,117,92,34,186.5,73,54.2,57.99999999999999
M,13,123,96,36,231.9,96.89999999999999,43.3,65
M,12,122,97,34,204.5,83.8,48.1,72
M,14,115.99999999999999,90,30,185.4,55.2,36.3,72
I,8,71,55.00000000000001,17,44,18.4,12,30
F,10,102,80,28.000000000000004,162.9,91.8,39.300000000000004,39
M,12,100,81,31,154.4,69.19999999999999,30.7,49
F,11,101,82,30,128.8,56.99999999999999,28.999999999999996,42
M,16,128,100,37,260.70000000000005,88.9,52.7,93
M,15,112.00000000000001,90,32,184.4,86.4,35.6,52
M,10,117,92,37,184.4,72.7,42.6,56.99999999999999
F,9,90,69,24,83.3,33.1,19,27
M,13,100,80,33,165,50.8,41,56.99999999999999
F,12,100,80,28.999999999999996,126,46.800000000000004,29.299999999999997,46
F,13,106,87,34,163.1,59.699999999999996,31,55.00000000000001
M,8,84,67,23,73.8,34.2,14.2,24
F,9,88,68,28.000000000000004,96.39999999999999,37.2,21.7,32
I,9,80,60,22,63,21.8,13.4,24
I,8,87,68,22,75.9,29.9,17,24
F,13,105,83,34,166.5,55.1,33.7,62
I,7,74,56.00000000000001,19,53.1,24.4,10.4,16
F,10,98,73,28.999999999999996,126.89999999999999,39.900000000000006,32.5,44
M,7,67,50,18,36.199999999999996,15.1,8.3,12
F,12,83,65,21,76,31.900000000000002,15.7,24
M,9,100,81,28.000000000000004,123.10000000000001,48.199999999999996,27.1,41
F,14,97,79,32,132,49.5,25.6,47
M,10,110.00000000000001,81,28.000000000000004,160.5,48.8,32.7,51
M,8,90,70,26,92,34.8,22.2,27
I,7,81,60,24,64.8,25.3,14.000000000000002,22
M,10,94,72,27,100.2,33.300000000000004,23,33
F,8,83,61,26,64,26.1,15.1,21
F,9,89,65,25,91,35.699999999999996,22.5,28.000000000000004
F,11,94,70,28.999999999999996,103.49999999999999,37.4,24.7,36
F,9,98,75,30,115.10000000000001,44,28.799999999999997,38
F,11,89,71,30,97,36.199999999999996,25,31
I,10,85,76,21,65.3,25.7,15.7,20
F,9,100,74,27,90,34.300000000000004,21.099999999999998,31
F,7,78,57.99999999999999,25,61.1,24.2,16.400000000000002,18
I,7,73,54,17,41,15.6,9.700000000000001,14.000000000000002
F,11,115.99999999999999,93,33,220.29999999999998,80.80000000000001,41.9,70
F,15,106,83,32,156.6,58.699999999999996,31.6,49
M,13,111.00000000000001,89,27,167.2,67.2,32.5,55.00000000000001
M,14,112.99999999999999,88,35,180.5,62,38.6,65
M,22,125,101,43,289.1,99.2,57.4,87
I,7,55.00000000000001,43,15,23.1,9.700000000000001,5.800000000000001,7.000000000000001
I,12,88,70,27,87,36.3,16.6,25
I,9,59,45,16,24.8,9.700000000000001,6.4,8
I,1,15,11,2,0.4,0.2,0.1,0.3
I,3,26,20,6,2.6,0.8999999999999999,0.6,0.8
I,3,22,18,6,1.6,0.5,0.4,0.6
I,5,32,24,7.000000000000001,4.2,1.5,0.8999999999999999,1
M,17,112.99999999999999,85,32,188.5,69.89999999999999,43.7,55.00000000000001
I,5,54,40,14.000000000000002,20,6.800000000000001,4.9,7.000000000000001
I,5,46,35,13,12.9,5.2,2.1,4
I,8,60,46,16,25.5,8.7,5.3,8
I,8,66,51,17,33.1,12.6,7.8,12
I,10,70,52,17,34.8,14.099999999999998,6.9,12
I,13,64,49,16,31.7,12.7,6.5,10
I,9,72,55.00000000000001,17,39.5,14.899999999999999,8.3,14.000000000000002
I,7,61,49,15,31.2,13.5,7.6,9
I,7,69,54,22,42.699999999999996,16.400000000000002,10.9,14.000000000000002
I,7,66,50,21,34.300000000000004,13.100000000000001,7.000000000000001,12
M,13,118,94,36,224.7,84.1,56.10000000000001,72
F,12,119,91,31,212.1,102.69999999999999,43.3,60
F,15,114.99999999999999,92,37,218.8,89.7,43.4,69
M,15,120,99,33,248.3,97,55.50000000000001,68
M,15,112.00000000000001,90,35,202.2,76.7,41.3,74
M,19,112.00000000000001,90,37,214,76.1,35,82
M,10,109.00000000000001,92,32,179.5,68.2,33.1,69
F,15,127,101,34,283,121,59.4,73
F,13,118,95,32,220.29999999999998,95.5,51.1,59
F,11,108,95,31,185.60000000000002,78.8,38.800000000000004,52
F,12,113.99999999999999,88,25,173,73.5,34.5,54
M,11,106,84,33,178.9,63.800000000000004,47.8,49
I,4,49,39,12,19,8.9,4.9,5.2
M,6,54,40,16,24.099999999999998,9.3,5.6000000000000005,8
F,11,92,76,26,127.8,60,30.5,32
M,14,104,90,30,179,72.3,37.2,47
M,8,70,55.00000000000001,22,58.5,24.5,12.7,18.099999999999998
M,9,94,78,30,127.1,43.7,17.7,51
F,13,90,72,25,99.9,40.699999999999996,20,34
F,22,128,105,43,355.79999999999995,90.7,57.099999999999994,110.00000000000001
M,16,118,100,40,237.4,82.39999999999999,54.1,74
M,14,124,97,41,243.8,77.5,50.1,77
M,15,126,101,45,305,112.00000000000001,66.7,90
M,13,126,103,31,251.79999999999998,82.1,39.4,82
M,22,131,108,43,368.8,148.5,65.4,117
F,12,132,106,37,269.7,98.6,49,98
M,18,122,100,48,328.4,106.4,66.9,138
M,20,127,105,41,296.8,110.00000000000001,62.3,86
F,11,103,85,27,142.4,53.300000000000004,32.1,50
F,15,107,83,37,168.3,62.8,31.7,60
I,7,72,56.99999999999999,21,48.3,18.3,11.4,15
F,9,91,71,24,89.9,35.4,20.8,30
M,14,97,79,28.000000000000004,125.89999999999999,45.7,25.4,45
M,14,103,76,35,191.3,65,31.6,62
F,10,107,83,34,175.8,59,39.300000000000004,56.99999999999999
M,10,106,87,31,139.79999999999998,57.599999999999994,31.900000000000002,41
F,17,99,80,31,128.9,48.4,26.5,41
M,9,88,71,25,95.5,26.400000000000002,16.3,38
F,10,107,87,32,162.1,63.1,35.9,48
M,17,108,87,36,199.2,76.7,45.2,65
F,12,112.99999999999999,101,42,255.29999999999998,100.2,55.800000000000004,71
M,15,122,95,33,223.20000000000002,85.6,44.1,63
F,19,112.99999999999999,91,35,202.59999999999997,68.4,41.4,70
M,26,120,99,39,211.50000000000003,76.8,38,75
I,6,59,43,17,25.6,9.8,6.800000000000001,8
I,6,55.00000000000001,41,15,22.1,9,5.7,7.000000000000001
I,4,56.00000000000001,42,17,21.3,7.8,5.8999999999999995,6
M,11,98,79,28.000000000000004,109.80000000000001,44.3,25.5,30
M,9,74,56.00000000000001,21,46.800000000000004,18.099999999999998,11.700000000000001,15
F,9,81,61,19,69.69999999999999,29.099999999999998,17.9,20
F,13,108,87,35,178.4,64.4,34.8,67
M,8,74,56.00000000000001,20,50.4,21.3,11.899999999999999,14.799999999999999
M,6,72,54,20,43.4,17.7,9.9,14.299999999999999
F,10,94,72,26,94.39999999999999,36.4,22.8,30
I,4,40,28.999999999999996,12,7.3999999999999995,2.5,1.9,2.1999999999999997
I,3,33,24,6,4.3,1.4000000000000001,1,1
M,13,129,103,48,308.3,94.19999999999999,73.8,107
M,14,110.00000000000001,82,25,152.1,50.1,32.7,39
M,10,113.99999999999999,87,28.999999999999996,181.1,78.5,47.099999999999994,55.00000000000001
F,21,126,97,38,248.70000000000002,92.7,61.1,78
M,14,112.00000000000001,88,28.000000000000004,194.2,88.6,40.9,53
M,19,119,91,39,266.1,91.9,64.7,69
F,23,124,94,40,245.1,76.2,54,87
M,23,126,97,35,260,86.7,58.9,92
I,8,90,71,22,91.7,38.800000000000004,13.4,28.000000000000004
F,14,127,107,38,248.4,115.19999999999999,49.5,78
M,10,90,70,20,73.5,29.299999999999997,20.3,24
F,18,115.99999999999999,91,31,167.3,63,27.700000000000003,64
I,6,66,51,19,34.4,13.200000000000001,5.1,12
I,5,53,42,12,19.3,8.5,4.3999999999999995,6
I,4,38,28.999999999999996,8,7.6,3.3000000000000003,1.3,3
M,11,77,62,20,56.89999999999999,21.3,15,20
I,5,53,41,14.000000000000002,21.099999999999998,7.8,8.200000000000001,7.000000000000001
M,7,67,53,21,44.4,18.7,11.200000000000001,15
I,7,71,55.00000000000001,18,50.2,19.400000000000002,10.6,16
I,7,64,51,20,35.099999999999994,14.6,8.3,13
M,12,102,80,26,128.7,54,33.300000000000004,41
M,8,72,59,21,48.199999999999996,17.299999999999997,10.6,19
I,8,72,56.00000000000001,18,45.1,17.7,8,18
M,12,100,76,31,119.10000000000001,42.699999999999996,32.2,40
F,8,80,65,24,63.7,26.8,11.3,19
I,5,60,44,16,24.2,9.5,8.4,7.000000000000001
I,5,47,35,8,14.099999999999998,6.7,3,4
F,16,148,120,39,394.8,119.6,81.69999999999999,142
M,11,124,93,38,268.29999999999995,114.1,63.5,71
M,14,120,95,38,217.49999999999997,80.60000000000001,53.1,65
M,16,118,90,37,256.59999999999997,94.6,55.2,85
M,13,124,95,37,265,120.9,65,66
F,15,112.99999999999999,90,39,200.70000000000002,81.2,50.1,56.99999999999999
M,14,114.99999999999999,91,28.999999999999996,233,116.19999999999999,45.5,60
F,14,124,102,41,269.5,95.5,51.300000000000004,96
M,12,124,93,37,254.8,115.8,61.3,64
F,12,101,75,36,113.6,46.5,29.9,34
F,8,92,85,31,149.2,60.099999999999994,30.4,48
M,13,98,78,28.000000000000004,141.4,55.900000000000006,43.7,36
F,9,105,84,32,151.2,54.900000000000006,34.599999999999994,55.00000000000001
I,6,68,52,16,40,16,11.1,11
I,8,75,61,23,54.300000000000004,18.4,14.799999999999999,18
M,14,122,96,30,240,112.00000000000001,49.1,56.00000000000001
F,8,122,99,37,230.6,107.2,58.099999999999994,49
F,22,117,90,34,173.70000000000002,66.5,32.7,54
M,12,113.99999999999999,92,28.000000000000004,190.7,89.3,41.3,49
M,9,115.99999999999999,91,34,186,81.6,51.800000000000004,44
M,16,127,103,34,254.99999999999997,101.8,57.199999999999996,68
M,20,140,115.99999999999999,41,426,148.3,98,115.99999999999999
M,13,135,105,37,317.4,138.7,67.2,79
F,18,129,105,38,361.7,140.7,77.7,79
M,17,149,117,43,499.8,185.3,94.39999999999999,140
F,16,137,109.00000000000001,36,353.6,149.9,78.4,97
M,18,121,98,36,245.4,96,57.4,70
F,12,118,93,30,199.4,78.4,49.2,68
F,20,130,105,35,284.5,122,59.9,89
F,16,120,96,30,205.79999999999998,81.69999999999999,54.1,59
F,12,124,100,35,237.2,99.7,60.3,70
M,19,126,103,32,203.2,84.3,48.8,71
M,11,115.99999999999999,93,28.999999999999996,177.4,88.1,33.1,53
F,10,115.99999999999999,91,24,214.7,95.8,54.7,53
M,12,126,98,36,225.99999999999997,91.60000000000001,55.300000000000004,63
F,17,138,112.00000000000001,43,343.8,136,59.8,94
F,16,130,109.00000000000001,33,313.2,132.9,69.1,83
F,16,132,112.99999999999999,39,352.09999999999997,138.39999999999998,65.3,100
F,19,136,115.99999999999999,40,357.4,117,90.60000000000001,120
F,14,140,114.99999999999999,34,262,101.89999999999999,62.8,84
M,13,137,104,30,268.6,92.7,58.4,80
F,20,135,109.00000000000001,39,346.9,136.9,73.9,121
M,11,126,98,38,235.5,98.7,67.30000000000001,56.99999999999999
F,10,117,90,32,215.39999999999998,99.9,57.49999999999999,50
M,15,112.99999999999999,93,35,199,77.9,36.6,74
F,12,122,99,37,221.70000000000002,74.1,62.7,66
M,15,121,94,36,228.10000000000002,75.1,56.10000000000001,77
M,10,107,84,28.999999999999996,158.20000000000002,66,37.8,50
M,10,97,80,27,132.6,62.6,27.400000000000002,40
M,12,94,75,24,111.3,45.2,24.4,39
M,10,109.00000000000001,85,27,168.9,74.6,42,47
F,9,91,74,21,98.5,43.2,24.9,27
M,12,108,84,31,147.70000000000002,70.3,30.4,43
M,10,92,76,27,96.39999999999999,41.4,24.5,28.999999999999996
M,14,98,84,25,121.8,47.8,28.7,44
I,9,93,75,24,94.19999999999999,44.4,23.799999999999997,28.000000000000004
I,10,83,65,20,64.3,30.7,11.899999999999999,21
M,10,95,75,25,118.6,55.400000000000006,23,36
F,10,94,75,25,112.3,50.4,27.400000000000002,36
I,9,73,59,19,50,21.5,10.9,16
I,6,69,55.00000000000001,19,39.900000000000006,15.1,10.7,14.000000000000002
I,11,78,62,20,60.4,23.200000000000003,12.8,23
F,10,100,79,28.000000000000004,143.1,63.3,35.199999999999996,48
M,8,94,76,28.999999999999996,117.30000000000001,47.699999999999996,28.799999999999997,37
M,12,107,88,30,135.3,51.2,27.800000000000004,52
M,11,117,91,30,197.4,87.1,41.5,62
F,9,97,73,24,117.7,54,26.200000000000003,35
M,9,103,91,27,144.5,59,32.5,47
F,7,87,65,22,86.7,35.6,19.7,31
F,10,103,83,28.000000000000004,138.7,62.3,30.4,40
I,7,88,69,24,73,33.1,16.6,22
F,12,105,88,30,168.5,73.7,39.7,48
M,8,90,71,23,95.8,42.5,20.9,30
M,16,118,97,24,182.20000000000002,78,36.4,57.99999999999999
M,11,111.00000000000001,90,28.999999999999996,183,80,49.2,56.99999999999999
M,8,113.99999999999999,88,19,165.39999999999998,67.9,44.3,47
M,15,118,100,33,220.9,91.3,48.5,68
M,14,117,95,24,189,82,42.3,56.00000000000001
F,11,115.99999999999999,92,24,198.70000000000002,92.5,47.699999999999996,56.00000000000001
M,12,109.00000000000001,88,24,171.3,69.5,34.300000000000004,48
F,14,121,99,34,247.7,105.60000000000001,49.3,78
F,15,124,94,28.000000000000004,206.5,72.1,44.800000000000004,72
F,20,126,100,34,262.7,111.9,53.400000000000006,80
M,20,126,103,33,270.40000000000003,97.6,69.8,90
F,16,126,100,31,200.99999999999997,73.4,39.800000000000004,72
M,13,109.00000000000001,82,28.000000000000004,125,44.6,32,47
F,14,134,108,33,300.3,103.60000000000001,71.6,101
I,11,98,76,24,105.80000000000001,43.3,27.800000000000004,31
F,13,98,78,27,115.7,49.3,24.6,40
I,8,57.99999999999999,45,14.000000000000002,20.200000000000003,7.199999999999999,4.7,7.000000000000001
I,6,52,40,14.000000000000002,18.4,7.3999999999999995,4,6
M,13,115.99999999999999,90,35,213.60000000000002,85,40.6,64
F,18,122,97,33,218.29999999999998,78.7,48.699999999999996,66
M,19,120,100,32,202.99999999999997,79.9,34.699999999999996,66
F,21,112.00000000000001,91,25,188.6,68.8,25.8,75
F,18,114.99999999999999,90,34,209.50000000000003,75.5,34.1,77
F,18,113.99999999999999,90,35,191.1,76,33.300000000000004,59
M,20,120,94,31,207.20000000000002,87.5,39.2,65
M,18,112.99999999999999,91,34,181.29999999999998,68.4,31.2,64
M,22,109.00000000000001,84,28.000000000000004,150.1,49.5,26,51
I,13,88,69,20,73.2,24.4,18.099999999999998,24
M,11,100,82,30,132.4,56.3,27.400000000000002,44
I,7,72,55.00000000000001,19,43.4,16.8,8.7,18
I,14,77,61,19,50.4,18.3,11,18
M,9,78,60,18,61.1,28.599999999999998,12.9,17
M,13,100,83,33,137.7,49.8,27.6,50
I,10,72,55.00000000000001,22,46.7,19,10.5,17
I,8,67,52,20,38.4,15.7,11.700000000000001,14.000000000000002
F,19,101,85,28.000000000000004,170,55.00000000000001,32.5,56.99999999999999
I,10,79,59,20,54.300000000000004,26.8,6.5,17
F,10,82,65,21,72.7,31.8,15.4,24
F,9,112.00000000000001,91,38,142.79999999999998,56.599999999999994,25.8,55.00000000000001
M,13,112.99999999999999,87,37,196.3,65.8,27.200000000000003,78
M,16,112.99999999999999,91,37,185.3,70.8,31.5,75
M,12,121,100,35,219.60000000000002,95.3,46.400000000000006,75
F,18,112.99999999999999,91,30,164.1,73,31.8,52
M,16,145,112.99999999999999,43,378.2,139.5,94.5,115.99999999999999
F,16,135,107,32,282,118.39999999999999,63.5,84
F,17,133,111.00000000000001,39,287.7,116.19999999999999,70.8,72
F,11,112.99999999999999,98,31,184.9,81,43.9,51
F,14,129,110.00000000000001,35,258.3,113.99999999999999,60.9,66
M,11,114.99999999999999,94,28.000000000000004,167.5,69.69999999999999,34.699999999999996,48
F,15,128,108,35,244.20000000000002,102,51.800000000000004,78
I,9,72,56.00000000000001,21,39.800000000000004,13.900000000000002,9,16
I,10,83,62,22,59.3,24.6,11.4,19.900000000000002
F,11,105,82,27,141.70000000000002,58.599999999999994,30.5,47
M,11,76,56.99999999999999,20,53.300000000000004,23,12.2,15
F,12,117,93,34,198.3,77.3,44.800000000000004,53
I,6,48,37,14.000000000000002,14.299999999999999,5.2,3.5999999999999996,5
I,5,44,33,11,10.9,4.3,2.4,4
I,6,51,39,14.000000000000002,14.7,5.1,4,5
I,5,35,25,10,4.7,1.6,0.7000000000000001,1.6
F,12,134,110.00000000000001,38,278.1,108.5,60.699999999999996,80
M,13,131,106,39,277.59999999999997,113.39999999999999,54.7,82
F,17,136,110.00000000000001,42,348.9,119.5,61,125
